name,go,ec,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,St. agalactiae 2603V R,St. agalactiae A909,St. agalactiae NEM316,St. macedonicus ACA-DC 198,St. mutans GS-5 ID CP0036861,St. mutans NN2025,St. mutans UA159,St. pneumoniae Hungary19A-6,St. pneumoniae TCH8431 19A,St. pneumoniae TIGR4,St. thermophilus CNRZ1066,St. thermophilus JIM 8232,St. thermophilus LMD-9,St. thermophilus LMG 18311,St. thermophilus MN-ZLW-002,St. thermophilus ND03
transposase,GO:0006313; GO:0004803; GO:0003677; GO:0015074,,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,0,0,0,2,4,4,5,4,4
Unknown,,,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1
transposase is3 family,GO:0006313; GO:0004803; GO:0003677; GO:0015074,,3,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,0,0,0,2,3,4,5,4,4
Unknown,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,0,2,2,1,2,1,2,1,2,0,0,0,1,1,1,1,1,1,1,2,1,2,2,2,2
transposase,GO:0006313; GO:0004803; GO:0003677,,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,1,1,1,1,5,6,12,6,7,6
permease family protein,GO:0005886; GO:0016021,,1,1,3,1,2,3,2,3,1,1,1,1,3,1,2,1,2,1,2,1,0,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3
spermidine putrescine abc transporter substrate-binding protein,GO:0015846; GO:0019808; GO:0042597,,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1
transposase,GO:0003700; GO:0006313; GO:0003677; GO:0006352; GO:0004803; GO:0015074; GO:0016987; GO:0006355; GO:0005667; GO:0045449,,1,3,2,2,1,1,2,2,3,2,1,1,2,2,2,3,2,2,1,1,1,1,2,1,1,1,1,1,0,2,0,0,0,3,0,0,0,0,0,0,2,2,4,1,3,2
deacetylase,GO:0016810; GO:0005975; GO:0006807,,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,0,0,0,0,1,1,1,0,0,0,2,1,1,2,2,2
2 3 -cyclic nucleotide 2 -phosphodiesterase,GO:0009166; GO:0046872; GO:0008663; GO:0005618; GO:0000166; GO:0006144; GO:0006206,EC:3.1.4.16,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,2,1,1,2,2,2
glutamine amidotransferase,GO:0006541; GO:0003922; GO:0005524; GO:0016740; GO:0016462; GO:0006177; GO:0006144; GO:0006536,EC:6.3.5.2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,0,0,0,1,1,1,1,0,0,0,1,1,2,2,2,2
pullulanase,GO:0005576; GO:0016020; GO:0003844; GO:0005618; GO:0030246; GO:0051060; GO:0043169; GO:0005982; GO:0005985,EC:2.4.1.18; EC:3.2.1.41,2,2,2,2,1,2,1,2,1,2,0,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,2,2,1,2,2
transposase,GO:0006313; GO:0004803; GO:0003677,,1,2,1,1,1,1,1,1,3,2,1,3,2,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,1,1,1,1,3,3,3,2,2,3,1
udp-glucose 4-epimerase,GO:0050662; GO:0003978; GO:0006012; GO:0009225,EC:5.1.3.2,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,2,3,1,2,1,2,1,1,1,1,1,0,0,0,1,1,1,1,2,2
abc atp-binding protein,GO:0055085; GO:0008234; GO:0043213; GO:0022885; GO:0016021; GO:0042626; GO:0006200; GO:0006508; GO:0005524,,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,0,1,1,1,1,1,1,2,2,2,0,0,0,2,2,3,3,2,2,3,1,2,1,1,1,1
Unknown,,,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,0,1,1,1,0,0,0,2,1,2,2,1,2
spfh band 7 phb domain protein,GO:0008233; GO:0016020; GO:0006508,,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
Unknown,,,2,1,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1
cation-transporting p-type atpase,GO:0046872; GO:0005524; GO:0006812; GO:0016021; GO:0019829,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1
uncharacterized conserved protein,GO:0005840; GO:0003735; GO:0006412; GO:0042254,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,0,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
Unknown,,,1,2,1,1,2,1,3,1,1,1,2,2,0,1,3,1,3,3,2,1,1,1,0,3,0,1,0,2,1,1,2,0,0,1,0,0,0,0,1,0,3,1,1,2,1,1
peptide abc transporter atp-binding protein,GO:0006200; GO:0015833; GO:0005524; GO:0016887,EC:3.6.1.3,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,0,1,0,2,1,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2
peptide abc transporter atp-binding protein,GO:0055085; GO:0008234; GO:0043213; GO:0022885; GO:0016021; GO:0042626; GO:0006200; GO:0006508; GO:0005524,,2,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,1,1,0,2,1,2,2,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2
oxidoreductase,GO:0055114; GO:0016491,,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2,1,1,2,1,2
Unknown,,,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1
pyrimidine-nucleoside phosphorylase,GO:0016154; GO:0006213; GO:0006206; GO:0004645,EC:2.4.2.2; EC:2.4.1.1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,0,0,0,0,1,1,1,1,1,1,2,1,1,2,1,1
multi-drug resistance efflux pump,GO:0055085; GO:0015937; GO:0004140; GO:0016021; GO:0022857; GO:0005524; GO:0016310; GO:0005737; GO:0005886; GO:0015940,EC:2.7.1.24,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1
amino acid abc transporter substrate-binding protein,GO:0005215; GO:0006810,,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Unknown,,,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
preprotein translocase subunit,GO:0017038; GO:0003676; GO:0015450; GO:0046872; GO:0006605; GO:0005524; GO:0065002; GO:0004386; GO:0005886; GO:0009941,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1
Unknown,,,3,2,1,2,2,1,2,2,1,1,0,1,1,2,2,1,1,2,1,3,2,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
multidrug abc transporter atp-binding protein,GO:0006200; GO:0005524; GO:0016887,EC:3.6.1.3,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
peptidoglycan branched peptide synthesis protein,GO:0016755; GO:0000166,EC:2.3.2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
ribonucleotide-diphosphate reductase subunit alpha,GO:0005971; GO:0006260; GO:0005524; GO:0004748; GO:0055114; GO:0006144; GO:0006206; GO:0009186,EC:1.17.4.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
transketolase,GO:0046872; GO:0004802; GO:0006098; GO:0015976,EC:2.2.1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1
rna polymerase sigma70,GO:0003700; GO:0003677; GO:0006352; GO:0016987; GO:0006355; GO:0005667; GO:0045449,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1
type iii restriction-modification system methylation subunit,GO:0006306; GO:0003677; GO:0008170,,1,1,1,1,2,1,2,1,1,1,2,1,1,3,2,1,1,1,1,1,3,1,2,2,1,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,1
cell wall binding-like protein,GO:0005576; GO:0016020; GO:0006508; GO:0004180,,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,0,2,0,0,0,2,0,0,0,0,0,0,1,2,2,1,1,1
Unknown,,,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
integrase,GO:0008907; GO:0003677; GO:0015074; GO:0006310,,1,0,1,0,1,1,2,1,1,1,1,1,1,2,3,2,2,1,2,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,0,2,4,0,1,1,1
phosphopentomutase,GO:0005737; GO:0008973; GO:0030145; GO:0009264; GO:0006015; GO:0043094; GO:0000287; GO:0006098; GO:0006144,EC:5.4.2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
fe-s cluster assembly protein,GO:0016226,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
aspartyl-trna synthetase,GO:0006420; GO:0003676; GO:0006422; GO:0005524; GO:0004815; GO:0004814; GO:0005737; GO:0006522; GO:0006531; GO:0006525; GO:0006560,EC:6.1.1.12; EC:6.1.1.19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
atp-dependent helicase,GO:0004386; GO:0090305; GO:0000724; GO:0005524; GO:0003690; GO:0008409,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
holliday junction dna helicase,GO:0032508; GO:0006310; GO:0006281; GO:0009432; GO:0009379; GO:0003677; GO:0005524; GO:0009378; GO:0005657,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
transcriptional regulator,GO:0043565,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1
peptidase m22,GO:0008233; GO:0070526; GO:0006508,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Unknown,,,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
femab family protein,GO:0016755,EC:2.3.2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
membrane protein,GO:0005886; GO:0016021,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
integrase,GO:0003677; GO:0015074; GO:0006310,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,0,0,0,1,1,1,1,1,1
amino acid abc transporter permease,GO:0016021; GO:0006810; GO:0005886; GO:0005215; GO:0004673; GO:0009365; GO:0016310,EC:2.7.13.3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heat shock protein,GO:0016021; GO:0004222; GO:0006950; GO:0006508; GO:0008270; GO:0005886,EC:3.4.24.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dna polymerase i,GO:0003887; GO:0006260; GO:0003677; GO:0008408; GO:0008409; GO:0042575,EC:2.7.7.7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aminoacylase n-acyl-l-amino acid amidohydrolase hippurate hydrolase,GO:0004180; GO:0008152,,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,0,0,0,1,1,1,1,0,0,0,2,1,1,1,1,1
sodium alanine symporter,GO:0015655; GO:0016020; GO:0006814; GO:0032328; GO:0015846,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
1-acyl-sn-glycerol-3-phosphate acyltransferase,GO:0003841; GO:0008654; GO:0042967; GO:0046486,EC:2.3.1.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abc transporter transmembrane region family protein,GO:0055085; GO:0016021; GO:0042626; GO:0006200; GO:0005524,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atp-dependent helicase,GO:0090305; GO:0003690; GO:0004003; GO:0000724; GO:0008408; GO:0005524; GO:0005657,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sucrose operon repressor,GO:0003700; GO:0003677; GO:0006355; GO:0005667; GO:0045449,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
dna-directed rna polymerase subunit beta,GO:0003899; GO:0006351; GO:0003677; GO:0005730; GO:0006144; GO:0006206,EC:2.7.7.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
multidrug abc transporter atp-binding protein,GO:0055085; GO:0016021; GO:0042626; GO:0006200; GO:0005524,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
carbamoyl phosphate synthase large subunit,GO:0004088; GO:0006526; GO:0030145; GO:0044205; GO:0005524; GO:0000287; GO:0005951; GO:0006206; GO:0006536,EC:6.3.5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n-acetylglucosamine-6-phosphate deacetylase,GO:0005975; GO:0008448; GO:0006044,EC:3.5.1.25,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
translation initiation factor if-2,GO:0003743; GO:0006184; GO:0003924; GO:0005525; GO:0005840; GO:0006446,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
branched-chain amino acid abc uptake transporter membrane-spanning protein,GO:0006810; GO:0005886; GO:0016021; GO:0005215,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
membrane protein,GO:0008643; GO:0005886,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alcohol dehydrogenase,GO:0008270; GO:0004022; GO:0055114,EC:1.1.1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
3-hydroxy-3-methylglutaryl- reductase,GO:0042282; GO:0050662; GO:0015936; GO:0004420; GO:0055114; GO:0006694,EC:1.1.1.88; EC:1.1.1.34,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hemolysin iii,GO:0016021; GO:0019835,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sua5 family protein,GO:0003725,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
peptidase m16,GO:0046872; GO:0008233; GO:0006508,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Unknown,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1
pts fructose transporter subunit iic,GO:0005886; GO:0009401; GO:0005351; GO:0016021; GO:0008982; GO:0009357,EC:2.7.1.69,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
leucyl-trna synthetase,GO:0002161; GO:0004823; GO:0006450; GO:0005524; GO:0006429; GO:0005737; GO:0009097; GO:0009098; GO:0009099,EC:6.1.1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
excinuclease abc subunit b,GO:0090305; GO:0006289; GO:0009432; GO:0003677; GO:0005524; GO:0004386; GO:0009381; GO:0005737; GO:0005515; GO:0006308; GO:0009380,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
phosphoenolpyruvate carboxylase,GO:0006107; GO:0008964; GO:0000287; GO:0006094; GO:0019643,EC:4.1.1.31,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s-adenosylmethionine:trna ribosyltransferase-isomerase,GO:0005737; GO:0016740; GO:0016853; GO:0008616,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oligopeptide dipeptide abc atp-binding c-terminal domain protein,GO:0006200; GO:0015833; GO:0005524; GO:0016887; GO:0015197; GO:0016020,EC:3.6.1.3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dna mismatch repair protein,GO:0045005; GO:0005524; GO:0003684; GO:0006298; GO:0030983,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
colicin v production protein,GO:0016020; GO:0009403,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cell division protein,GO:0051301,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ribonuclease hiii,GO:0005737; GO:0006401; GO:0004523; GO:0090305; GO:0003723; GO:0000287; GO:0051252,EC:3.1.26.4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glucose-1-phosphate thymidylyltransferase,GO:0046872; GO:0045226; GO:0008879; GO:0019872; GO:0030639; GO:0046075,EC:2.7.7.24,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
replicative dna helicase,GO:0006260; GO:0003677; GO:0032508; GO:0003678; GO:0005524; GO:0005657,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
